Physical Locations: 14
Scenes: 37
Identified Shots: 113

"Unique Physical Locations Sorted By Location Complexity"
"Set/Location","Number Of Scenes","Identified Shots","Nodes","Characters",
INT. GREENSCREEN SHED,7, 7, 463,BUSINESS DANIEL - DANIEL - GROUP - JACK - KATRINA - LT. DAN - MELISSA - PM PETE - SCIENTIST DANIEL
INT. GREENSCREEN,7, 80, 168,DANIEL
EXT. DECK,4, 4, 133,DANIEL - KATRINA
EXT. HALFWAY TO GREENSCREEN SHED,3, 6, 83,BUSINESS DANIEL - DANIEL - HIPPIE DANIEL - LT. DAN - MELISSA - PM PETE - SCIENTIST DANIEL
EXT. BETWEEN HOUSE AND GREENSCREEN SHED,2, 2, 63,BUSINESS DANIEL - DANIEL - HIPPIE DANIEL - KATRINA - LT. DAN - PM PETE - SCIENTIST DANIEL
EXT. WOODS,1, 1, 58,HIPPIE DANIEL
INT. FAMILY LIVING ROOM,1, 1, 53,DANIEL - JACK - KATRINA - MELISSA
EXT. GREENSCREEN SHED,1, 1, 40,JACK - KATRINA - MELISSA
EXT. RANDOM STREET SCENE,1, 1, 18,PERSON1 - PERSON10 - PERSON2 - PERSON3 - PERSON5 - PERSON6 - PERSON7 - PERSON8 - PERSON9
INT. FAMILY DINING ROOM,1, 1, 15,DANIEL
INT. UNCLE BOB’S OFFICE,1, 1, 14,ANGELA - UNCLE BOB
EXT. HOUSE SIDEWALK,1, 1, 6,DANIEL
TITLE CARD,4, 4, 4,
SECTION BREAK,3, 3, 3,

"Location/Scenes Sorted By Scene Complexity"
"Set/Location","Scene Number","Starting Page","Character List","Speaking Segments","Notes",
"INT. GREENSCREEN SHED","","35","DANIEL, KATRINA, MELISSA","135","",
"INT. GREENSCREEN SHED","","28","BUSINESS DANIEL, DANIEL, KATRINA, LT. DAN, MELISSA, PM PETE, SCIENTIST DANIEL","109","",
"INT. GREENSCREEN SHED","","11","DANIEL, KATRINA, MELISSA","90","",
"INT. GREENSCREEN SHED","","16","KATRINA, MELISSA","60","",
"INT. GREENSCREEN SHED","","8","DANIEL, GROUP, JACK, KATRINA, MELISSA","49","",
"INT. GREENSCREEN SHED - LATER","","20","KATRINA, MELISSA","12","",
"INT. GREENSCREEN SHED","","44","KATRINA, MELISSA","8","",
"INT. GREENSCREEN","","32","DANIEL","2","",
"INT. GREENSCREEN","","25","DANIEL","2","",
"INT. GREENSCREEN","","18","DANIEL","2","",
"INT. GREENSCREEN","","47","DANIEL","2","",
"INT. GREENSCREEN","","41","DANIEL","2","",
"INT. GREENSCREEN","","10","DANIEL","2","",
"INT. GREENSCREEN  ","","5","DANIEL","2","",
"EXT. DECK - DAY","","21","DANIEL, KATRINA","69","",
"EXT. DECK - DAY","","3","DANIEL, KATRINA","32","",
"EXT. DECK - CONTINUOUS","","4","DANIEL, KATRINA","21","",
"EXT. DECK - LATER","","50","DANIEL, KATRINA","11","",
"EXT. HALFWAY TO GREENSCREEN SHED","","23","BUSINESS DANIEL, DANIEL, HIPPIE DANIEL, LT. DAN, PM PETE, SCIENTIST DANIEL","40","",
"EXT. HALFWAY TO GREENSCREEN SHED","","40","BUSINESS DANIEL, DANIEL, HIPPIE DANIEL, LT. DAN, PM PETE, SCIENTIST DANIEL","29","",
"EXT. HALFWAY TO GREENSCREEN SHED","","49","DANIEL, MELISSA","2","",
"EXT. BETWEEN HOUSE AND GREENSCREEN SHED","","7","BUSINESS DANIEL, DANIEL, HIPPIE DANIEL, KATRINA, LT. DAN, PM PETE","38","",
"EXT. BETWEEN HOUSE AND GREENSCREEN SHED","","15","DANIEL, HIPPIE DANIEL, LT. DAN, PM PETE, SCIENTIST DANIEL","25","",
"EXT. WOODS","","50","HIPPIE DANIEL","58","",
"INT. FAMILY LIVING ROOM","","44","DANIEL, JACK, KATRINA, MELISSA","53","",
"EXT. GREENSCREEN SHED - DAY","","2","JACK, KATRINA, MELISSA","40","",
"EXT. RANDOM STREET SCENE","","1","PERSON1, PERSON10, PERSON2, PERSON3, PERSON5, PERSON6, PERSON7, PERSON8, PERSON9","18","",
"INT. FAMILY DINING ROOM","","43","DANIEL","15","",
"INT. UNCLE BOB’S OFFICE","","46","ANGELA, UNCLE BOB","14","",
"EXT. HOUSE SIDEWALK","","47","DANIEL","6","",
"TITLE CARD","","20","","1","",
"TITLE CARD","","2","","1","",
"TITLE CARD","","50","","1","",
"TITLE CARD","","47","","1","",
"SECTION BREAK","","2","","1","",
"SECTION BREAK","","8","","1","",
"SECTION BREAK","","20","","1","",

"Location-Scene-Shot By Character"
"Set/Location","Scene Number","Starting Page","Shot Number","Character List","Speaking Segments","Notes",
"INT. GREENSCREEN SHED","","35","Shot:23:0","DANIEL, KATRINA, MELISSA","62","",
"INT. GREENSCREEN SHED","","28","Shot:21:0","BUSINESS DANIEL, DANIEL, KATRINA, LT. DAN, MELISSA, PM PETE, SCIENTIST DANIEL","51","",
"INT. GREENSCREEN SHED","","11","Shot:11:0","DANIEL, KATRINA, MELISSA","38","",
"INT. GREENSCREEN SHED","","16","Shot:13:0","KATRINA, MELISSA","26","",
"INT. GREENSCREEN SHED","","8","Shot:9:0","DANIEL, GROUP, JACK, KATRINA, MELISSA","20","",
"INT. GREENSCREEN SHED - LATER","","20","Shot:17:0","KATRINA, MELISSA","5","",
"INT. GREENSCREEN SHED","","44","Shot:27:0","KATRINA, MELISSA","3","",
"INT. GREENSCREEN","","32","Shot:22:0","DANIEL","1","",
"INT. GREENSCREEN","","32","Shot:22:11","DANIEL","1","",
"INT. GREENSCREEN","","32","Shot:22:10","DANIEL","1","",
"INT. GREENSCREEN","","32","Shot:22:9","DANIEL","1","",
"INT. GREENSCREEN","","32","Shot:22:12","DANIEL","1","",
"INT. GREENSCREEN","","32","Shot:22:15","DANIEL","2","",
"INT. GREENSCREEN","","32","Shot:22:14","DANIEL","1","",
"INT. GREENSCREEN","","32","Shot:22:13","DANIEL","1","",
"INT. GREENSCREEN","","32","Shot:22:8","DANIEL","1","",
"INT. GREENSCREEN","","32","Shot:22:3","DANIEL","1","",
"INT. GREENSCREEN","","32","Shot:22:2","DANIEL","1","",
"INT. GREENSCREEN","","32","Shot:22:1","DANIEL","1","",
"INT. GREENSCREEN","","32","Shot:22:4","DANIEL","1","",
"INT. GREENSCREEN","","32","Shot:22:7","DANIEL","1","",
"INT. GREENSCREEN","","32","Shot:22:6","DANIEL","1","",
"INT. GREENSCREEN","","32","Shot:22:5","DANIEL","1","",
"INT. GREENSCREEN","","25","Shot:20:0","DANIEL","1","",
"INT. GREENSCREEN","","25","Shot:20:10","DANIEL","1","",
"INT. GREENSCREEN","","25","Shot:20:9","DANIEL","1","",
"INT. GREENSCREEN","","25","Shot:20:8","DANIEL","1","",
"INT. GREENSCREEN","","25","Shot:20:11","DANIEL","1","",
"INT. GREENSCREEN","","25","Shot:20:14","DANIEL","1","",
"INT. GREENSCREEN","","25","Shot:20:13","DANIEL","1","",
"INT. GREENSCREEN","","25","Shot:20:12","DANIEL","1","",
"INT. GREENSCREEN","","25","Shot:20:3","DANIEL","1","",
"INT. GREENSCREEN","","25","Shot:20:2","DANIEL","1","",
"INT. GREENSCREEN","","25","Shot:20:1","DANIEL","1","",
"INT. GREENSCREEN","","25","Shot:20:4","DANIEL","1","",
"INT. GREENSCREEN","","25","Shot:20:7","DANIEL","1","",
"INT. GREENSCREEN","","25","Shot:20:6","DANIEL","1","",
"INT. GREENSCREEN","","25","Shot:20:5","DANIEL","1","",
"INT. GREENSCREEN","","18","Shot:14:0","DANIEL","1","",
"INT. GREENSCREEN","","18","Shot:14:7","DANIEL","1","",
"INT. GREENSCREEN","","18","Shot:14:6","DANIEL","1","",
"INT. GREENSCREEN","","18","Shot:14:9","DANIEL","1","",
"INT. GREENSCREEN","","18","Shot:14:8","DANIEL","1","",
"INT. GREENSCREEN","","18","Shot:14:5","DANIEL","1","",
"INT. GREENSCREEN","","18","Shot:14:2","DANIEL","2","",
"INT. GREENSCREEN","","18","Shot:14:1","DANIEL","1","",
"INT. GREENSCREEN","","18","Shot:14:4","DANIEL","2","",
"INT. GREENSCREEN","","18","Shot:14:3","DANIEL","1","",
"INT. GREENSCREEN","","47","Shot:32:0","DANIEL","1","",
"INT. GREENSCREEN","","47","Shot:32:7","DANIEL","2","",
"INT. GREENSCREEN","","47","Shot:32:6","DANIEL","1","",
"INT. GREENSCREEN","","47","Shot:32:8","DANIEL","1","",
"INT. GREENSCREEN","","47","Shot:32:10","DANIEL","1","",
"INT. GREENSCREEN","","47","Shot:32:9","DANIEL","1","",
"INT. GREENSCREEN","","47","Shot:32:2","DANIEL","1","",
"INT. GREENSCREEN","","47","Shot:32:1","DANIEL","1","",
"INT. GREENSCREEN","","47","Shot:32:3","DANIEL","1","",
"INT. GREENSCREEN","","47","Shot:32:5","DANIEL","1","",
"INT. GREENSCREEN","","47","Shot:32:4","DANIEL","1","",
"INT. GREENSCREEN","","41","Shot:25:0","DANIEL","1","",
"INT. GREENSCREEN","","41","Shot:25:7","DANIEL","1","",
"INT. GREENSCREEN","","41","Shot:25:6","DANIEL","1","",
"INT. GREENSCREEN","","41","Shot:25:8","DANIEL","1","",
"INT. GREENSCREEN","","41","Shot:25:10","DANIEL","1","",
