Scene Count: 339

"Unique Physical Locations"
"Set/Location","Number Of Nodes","Characters",
INT. FAMILY LIVING ROOM,296,BUSINESS DANIEL - DANIEL - HIPPIE DANIEL - JACK - KATRINA - MELISSA - MILITARY DANIEL - PROJECT MANAGER DANIEL - SCIENTIST DANIEL - UNCLE BOB
INT. GREENSCREEN,210,DANIEL - KATRINA
EXT. FIREPIT,165,BUSINESS DANIEL - DANIEL - HIPPIE DANIEL - KATRINA - MILITARY DANIEL - PROJECT MANAGER DANIEL - SCIENTIST DANIEL
EXT. HAMMOCK,141,DANIEL - KATRINA
EXT. DECK,99,DANIEL - HIPPIE DANIEL - PROJECT MANAGER DANIEL
EXT. BACKYARD,86,DANIEL - JACK - KATRINA - MELISSA
INT. GREENSCREEN SHED,34,DANIEL - UNCLE BOB
EXT. COUNTRY ROAD,31,DANIEL - HIPPIE DANIEL - PROJECT MANAGER DANIEL - SCIENTIST DANIEL
EXT. RANDOM STREET SCENES,27,PERSON1 - PERSON10 - PERSON11 - PERSON12 - PERSON2 - PERSON3 - PERSON4 - PERSON5 - PERSON6 - PERSON7 - PERSON8 - PERSON9
EXT. GREENSCREEN SHED CLOSER TO HOUSE,25,DANIEL - KATRINA
EXT. GREENSCREEN SHED,13,DANIEL - KATRINA
SECTION BREAK,12,
INT. GREENSCREEN REVERSE,10,DANIEL - KATRINA
TITLE CARD,4,
EXT. BETWEEN HAMMOCK AREA AND HOUSE,4,DANIEL

"Sorted Shot List (By Location, Scene Number)"
"Set/Location","Scene Number","Starting Page","Character List","Speaking Segments","Notes",
"EXT. BACKYARD - LATER","166","39","DANIEL, KATRINA","7","",
"EXT. BACKYARD - CONTINUOUS","167","39","DANIEL, KATRINA","6","",
"EXT. BACKYARD - CONTINUOUS","168","39","DANIEL, KATRINA","6","",
"EXT. BACKYARD - CONTINUOUS","169","40","DANIEL, KATRINA","6","",
"EXT. BACKYARD - CONTINUOUS","170","40","DANIEL, JACK","4","",
"EXT. BACKYARD - CONTINUOUS","171","41","DANIEL, JACK","4","",
"EXT. BACKYARD - CONTINUOUS","172","41","DANIEL, JACK","4","",
"EXT. BACKYARD - CONTINUOUS","173","41","DANIEL, JACK","4","",
"EXT. BACKYARD - CONTINUOUS","174","42","DANIEL, JACK","4","",
"EXT. BACKYARD - CONTINUOUS","175","42","DANIEL, JACK","4","",
"EXT. BACKYARD - CONTINUOUS","176","42","DANIEL, JACK","4","",
"EXT. BACKYARD - CONTINUOUS","177","43","DANIEL, JACK","4","",
"EXT. BACKYARD - CONTINUOUS","178","43","DANIEL, JACK","5","",
"EXT. BACKYARD - CONTINUOUS","179","43","DANIEL, JACK","4","",
"EXT. BACKYARD - CONTINUOUS","180","44","DANIEL, JACK","6","",
"EXT. BACKYARD - CONTINUOUS","181","44","DANIEL, MELISSA","6","",
"EXT. BACKYARD - CONTINUOUS","182","45","DANIEL, MELISSA","6","",
"EXT. BACKYARD - CONTINUOUS","183","45","DANIEL","2","",
"EXT. BETWEEN HAMMOCK AREA AND HOUSE - CONTINUOUS","9","4","DANIEL","4","",
